대표상품코드,전체옵션코드,상품명,브랜드명,대카테고리,중카테고리,브랜드군,비고
9100000001,9100000001,여성 캐시미어 블렌드 니트,LUMEN,패션,여성의류,LUMEN,PORTFOLIO DEMO
9100000002,9100000002,여성 울 블렌드 가디건,LUMEN,패션,여성의류,LUMEN,PORTFOLIO DEMO
9100000003,9100000003,남성 클래식 셔츠,NORDEN,패션,남성의류,NORDEN,PORTFOLIO DEMO
9100000004,9100000004,남성 테이퍼드 팬츠,NORDEN,패션,남성의류,NORDEN,PORTFOLIO DEMO
9100000005,9100000005,러닝 경량 자켓,MOTION LAB,패션,스포츠,MOTION LAB,PORTFOLIO DEMO
9100000006,9100000006,스포츠 트레이닝 팬츠,MOTION LAB,패션,스포츠,MOTION LAB,PORTFOLIO DEMO
9100000007,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,패션,골프,GREEN FAIRWAY,PORTFOLIO DEMO
9100000008,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,패션,골프,GREEN FAIRWAY,PORTFOLIO DEMO
9100000009,9100000009,레더 미니 숄더백,ATELIER BAG,패션,가방·잡화,ATELIER BAG,PORTFOLIO DEMO
9100000010,9100000010,데일리 토트백,ATELIER BAG,패션,가방·잡화,ATELIER BAG,PORTFOLIO DEMO
9100000011,9100000011,수분 장벽 크림,PURELAB,뷰티,스킨케어,PURELAB,PORTFOLIO DEMO
9100000012,9100000012,진정 세럼,PURELAB,뷰티,스킨케어,PURELAB,PORTFOLIO DEMO
9100000013,9100000013,글로우 쿠션 파운데이션,GLOWMATE,뷰티,메이크업,GLOWMATE,PORTFOLIO DEMO
9100000014,9100000014,벨벳 립 틴트,GLOWMATE,뷰티,메이크업,GLOWMATE,PORTFOLIO DEMO
9100000015,9100000015,오드퍼퓸 50ML,SCENT ARCHIVE,뷰티,향수,SCENT ARCHIVE,PORTFOLIO DEMO
9100000016,9100000016,퍼퓸 기프트 세트,SCENT ARCHIVE,뷰티,향수,SCENT ARCHIVE,PORTFOLIO DEMO
9100000017,9100000017,퍼퓸 바디워시,BOTANIC DAY,뷰티,헤어·바디,BOTANIC DAY,PORTFOLIO DEMO
9100000018,9100000018,너리싱 헤어 마스크,BOTANIC DAY,뷰티,헤어·바디,BOTANIC DAY,PORTFOLIO DEMO
9100000019,9100000019,프리미엄 프라이팬 세트,HOME TABLE,리빙,주방,HOME TABLE,PORTFOLIO DEMO
9100000020,9100000020,세라믹 냄비 세트,HOME TABLE,리빙,주방,HOME TABLE,PORTFOLIO DEMO
9100000021,9100000021,드립 커피메이커,MORNING BREW,리빙,가전,MORNING BREW,PORTFOLIO DEMO
9100000022,9100000022,전기 토스터,MORNING BREW,리빙,가전,MORNING BREW,PORTFOLIO DEMO
9100000023,9100000023,미니 공기청정기,AIRNEST,리빙,가전,AIRNEST,PORTFOLIO DEMO
9100000024,9100000024,무선 서큘레이터,AIRNEST,리빙,가전,AIRNEST,PORTFOLIO DEMO
9100000025,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,리빙,식품,DAILY PANTRY,PORTFOLIO DEMO
9100000026,9100000026,시그니처 디저트 세트,DAILY PANTRY,리빙,식품,DAILY PANTRY,PORTFOLIO DEMO
