연도,월,일정,전시요일,전시순서,온라인상품코드,상품명,브랜드명,정상가,최종혜택가,할인율,결제수량,결제금액(포인트포함),PV
2025,1,01/01,수,1,9100000024,무선 서큘레이터,AIRNEST,189000,94500,50,37,3583000,
2025,1,01/01,수,2,9100000009,레더 미니 숄더백,ATELIER BAG,329000,296100,10,12,3844000,
2025,1,01/01,수,3,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,188100,10,28,4879000,
2025,1,01/01,수,4,9100000005,러닝 경량 자켓,MOTION LAB,149000,74500,50,49,3707000,
2025,1,01/01,수,5,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,111300,30,32,4485000,
2025,1,01/03,금,1,9100000009,레더 미니 숄더백,ATELIER BAG,329000,279600,15,19,5552000,
2025,1,01/03,금,2,9100000005,러닝 경량 자켓,MOTION LAB,149000,104300,30,64,6091000,
2025,1,01/03,금,3,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,89500,50,49,3777000,
2025,1,01/03,금,4,9100000011,수분 장벽 크림,PURELAB,68000,57800,15,108,5506000,
2025,1,01/03,금,5,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,103400,35,44,4225000,
2025,1,01/03,금,6,9100000003,남성 클래식 셔츠,NORDEN,129000,116100,10,32,3347000,
2025,1,01/03,금,7,9100000013,글로우 쿠션 파운데이션,GLOWMATE,52000,44200,15,137,5279000,
2025,1,01/04,토,1,9100000021,드립 커피메이커,MORNING BREW,159000,127200,20,40,5662000,
2025,1,01/04,토,2,9100000012,진정 세럼,PURELAB,59000,32500,45,194,5261000,
2025,1,01/04,토,3,9100000006,스포츠 트레이닝 팬츠,MOTION LAB,99000,49500,50,48,2573000,
2025,1,01/04,토,4,9100000025,프리미엄 견과 선물세트,DAILY PANTRY,69000,62100,10,40,3086000,
2025,1,01/04,토,5,9100000023,미니 공기청정기,AIRNEST,299000,194400,35,23,5397000,
2025,1,01/04,토,6,9100000007,골프 여성 카라 티셔츠,GREEN FAIRWAY,179000,116400,35,32,3741000,
2025,1,01/04,토,7,9100000009,레더 미니 숄더백,ATELIER BAG,329000,181000,45,18,3825000,
2025,1,01/04,토,8,9100000003,남성 클래식 셔츠,NORDEN,129000,64500,50,49,2885000,
2025,1,01/05,일,1,9100000012,진정 세럼,PURELAB,59000,47200,20,139,5866000,
2025,1,01/05,일,2,9100000008,골프 남성 기능성 팬츠,GREEN FAIRWAY,209000,125400,40,41,5379000,
2025,1,01/05,일,3,9100000005,러닝 경량 자켓,MOTION LAB,149000,82000,45,60,4111000,
2025,1,01/05,일,4,9100000017,퍼퓸 바디워시,BOTANIC DAY,39000,35100,10,78,3218000,
2025,1,01/05,일,5,9100000016,퍼퓸 기프트 세트,SCENT ARCHIVE,198000,99000,50,74,6575000,
2025,1,01/05,일,6,9100000003,남성 클래식 셔츠,NORDEN,129000,83800,35,25,2148000,
2025,1,01/05,일,7,9100000002,여성 울 블렌드 가디건,LUMEN,219000,120500,45,25,2807000,
2025,1,01/05,일,8,9100000004,남성 테이퍼드 팬츠,NORDEN,159000,111300,30,42,4197000,
2025,1,01/06,월,1,9100000021,드립 커피메이커,MORNING BREW,159000,127200,20,31,4514000,
2025,1,01/06,월,2,9100000010,데일리 토트백,ATELIER BAG,259000,129500,50,47,5896000,
2025,1,01/06,월,3,9100000017,퍼퓸 바디워시,BOTANIC DAY,39000,21400,45,118,2148000,
2025,1,01/06,월,4,9100000020,세라믹 냄비 세트,HOME TABLE,249000,174300,30,21,4172000,
